STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2016-01,,42339.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2016-02,,40585.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2016-03,,40799.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2016-04,,37701.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2016-05,,36866.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2016-06,,38267.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2016-07,,37204.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2016-08,,36616.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2016-09,,36598.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2016-10,,38345.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2016-11,,40559.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2016-12,,40450.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2017-01,,44805.424,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2017-02,,39758.565,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2017-03,,42711.611,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2017-04,,38904.428,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2017-05,,39615.961,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2017-06,,38157.073,,,,,
